english_name,description
bulbasaur,grass seed pokémon there is a plant seed on  bulbasaurs back right from the day bulbasaur is born. the seed slowly grows larger.
ivysaur,"grass seed pokémon when the bulb on  ivysaurs back grows large,  ivysaur appears to lose the abil ivysaury to stand on  ivysaurs hind legs."
venusaur,grass seed pokémon  venusaurs plant blooms when  venusaur is absorbing solar energy.  venusaur stays on the move to seek sunlight.
charmander,"fire lizard pokémon  charmander has a preference for hot things. when  charmander rains, steam is said to spout from the tip of  charmanders tail."
charmeleon,"fire flame pokémon  charmeleon has a barbaric nature. in battle,  charmeleon whips  charmeleons fiery tail around and slashes away w charmeleonh sharp claws."
charizard,fire flame pokémon  charizard sp charizards fire that is hot enough to melt boulders.  charizard may cause forest fires by blowing flames.
squirtle,"water tiny turtle pokémon when  squirtle retracts  squirtles long neck into  squirtles shell,  squirtle squirts out water w squirtleh vigorous force."
wartortle,"water turtle pokémon  wartortle is recognized as a symbol of longev wartortley. if  wartortles shell has algae on  wartortle, that wartortle is very old."
blastoise,"water shellfish pokémon  blastoise crushes  blastoises foe under  blastoises heavy body to cause fainting. in a pinch,  blastoise will w blastoisehdraw inside  blastoises shell."
caterpie,"bug worm pokémon for protection,  caterpie releases a horrible stench from the antenna on  caterpies head to drive away enemies."
metapod,"bug cocoon pokémon  metapod is wa metapoding for the moment to evolve. at this stage,  metapod can only harden, so  metapod remains motionless to avoid attack."
butterfree,"bug butterfly pokémon in battle,  butterfree flaps  butterfrees wings at great speed to release highly toxic dust into the air."
weedle,bug hairy pokémon beware of the sharp stinger on  weedles head.  weedle hides in grass and bushes where  weedle eats leaves.
kakuna,"bug cocoon pokémon able to move only slightly. when endangered,  kakuna may stick out  kakunas stinger and poison  kakunas enemy."
beedrill,bug poison bee pokémon  beedrill has three poisonous stingers on  beedrills forelegs and  beedrills tail. they are used to jab  beedrills enemy repeatedly.
pidgey,"normal tiny bird pokémon very docile. if attacked,  pidgey will often kick up sand to protect  pidgeyself rather than fight back."
pidgeotto,normal bird pokémon pidgeotto is full of v pidgeottoal pidgeottoy.  pidgeotto constantly flies around  pidgeottos large terr pidgeottoory in search of prey.
pidgeot,"normal bird pokémon pidgeot flies at mach 2 speed, seeking prey.  pidgeots large talons are feared as wicked weapons."
rattata,"normal mouse pokémon will chew on anything w rattatah  rattatas fangs. if you see one, you can be certain that 40 more live in the area."
raticate,"normal mouse pokémon  raticates hind feet are webbed. they act as flippers, so  raticate can swim in rivers and hunt for prey."
spearow,"normal tiny bird pokémon inept at flying high. however,  spearow can fly around very fast to protect  spearows terr spearowory."
fearow,"normal beak pokémon a pokémon that dates back many years. if  fearow senses danger,  fearow flies high and away, instantly."
ekans,"poison snake pokémon the older  ekans gets, the longer  ekans grows. at night,  ekans wraps  ekanss long body around tree branches to rest."
arbok,poison cobra pokémon the frightening patterns on  arboks belly have been studied. six variations have been confirmed.
pikachu,electric mouse pokémon pikachu that can generate powerful electric pikachuy have cheek sacs that are extra soft and super stretchy.
raichu,electric mouse pokémon  raichus long tail serves as a ground to protect  raichuself from  raichus own high-voltage power.
sandshrew,"ground mouse pokémon  sandshrew loves to bathe in the gr sandshrew of dry, sandy areas. by sand bathing, the pokémon rids  sandshrewself of dirt and moisture clinging to  sandshrews body."
sandslash,"ground mouse pokémon the drier the area sandslash lives in, the harder and smoother the pokémon is spikes will feel when touched."
nidoran♀,"poison poison pin pokémon females are more sens nidoran♀ive to smells than males. while foraging, they’ll use their whiskers to check wind direction and stay downwind of predators."
nidorina,poison poison pin pokémon the horn on  nidorinas head has atrophied.  nidorina is thought that this happens so nidorina is children won’t get poked while their mother is feeding them.
nidoqueen,"poison drill pokémon nidoqueen is better at defense than offense. w nidoqueenh scales like armor, nidoqueen will shield  nidoqueens children from any kind of attack."
nidoran♂,"poison poison pin pokémon the horn on a male nidoran is forehead contains a powerful poison. this is a very cautious pokémon, always straining  nidoran♂s large ears."
nidorino,"poison poison pin pokémon w nidorinoh a horn that is harder than diamond, nidorino goes around shattering boulders as  nidorino searches for a moon stone."
nidoking,"poison drill pokémon when  nidoking goes on a rampage,  nidoking is impossible to control. but in the presence of a nidoqueen  nidoking is lived w nidokingh for a long time, nidoking calms down."
clefairy,fairy fairy pokémon  clefairy is said that happiness will come to those who see a gathering of clefairy dancing under a full moon.
clefable,"fairy fairy pokémon a timid fairy pokémon that is rarely seen,  clefable will run and hide the moment  clefable senses people."
vulpix,"fire fox pokémon while young,  vulpix has six gorgeous tails. when  vulpix grows, several new tails are sprouted."
ninetales,"fire fox pokémon  ninetales is said to live 1,000 years, and each of  ninetaless tails is loaded w ninetalesh supernatural powers."
jigglypuff,"normal balloon pokémon jigglypuff has top-notch lung capac jigglypuffy, even by comparison to other pokémon.  jigglypuff won’t stop singing  jigglypuffs lullabies until  jigglypuffs foes fall asleep."
wigglytuff,"normal balloon pokémon the more air  wigglytuff takes in, the more  wigglytuff inflates. if opponents catch  wigglytuff in a bad mood,  wigglytuff will inflate  wigglytuffself to an enormous size to intimidate them."
zubat,"poison bat pokémon  zubat em zubats ultrasonic waves from  zubats mouth to check  zubats surroundings. even in tight caves, zubat flies around w zubath skill."
golbat,"poison bat pokémon  golbat loves to drink other creatures’ blood.  golbat is said that if  golbat finds others of  golbats kind going hungry,  golbat sometimes shares the blood  golbat is gathered."
oddish,"grass weed pokémon if exposed to moonlight,  oddish starts to move.  oddish roams far and wide at night to scatter  oddishs seeds."
gloom,grass weed pokémon  glooms pistils exude an incredibly foul odor. the horrid stench can cause fainting at a distance of 1.25 miles.
vileplume,"grass flower pokémon  vileplume has the world is largest petals. w vileplumeh every step, the petals shake out heavy clouds of toxic pollen."
paras,bug mushroom pokémon burrows under the ground to gnaw on tree roots. the mushrooms on  parass back absorb most of the nutr parasion.
parasect,bug mushroom pokémon the bug host is drained of energy by the mushroom on  parasects back. the mushroom appears to do all the thinking.
venonat,"bug insect pokémon  venonats large eyes act as radar. in a bright place, you can see that they are clusters of many tiny eyes."
venomoth,bug poison moth pokémon the powdery scales on  venomoths wings are hard to remove from skin. they also contain poison that leaks out on contact.
diglett,"ground mole pokémon if a diglett digs through a field,  diglett leaves the soil perfectly tilled and ideal for planting crops."
dugtrio,ground mole pokémon a team of diglett triplets.  dugtrio triggers huge earthquakes by burrowing 60 miles underground.
meowth,"normal scratch cat pokémon  meowth loves to collect shiny things. if  meowth is in a good mood,  meowth might even let  meowths trainer have a look at  meowths hoard of treasures."
persian,"normal classy cat pokémon getting this prideful pokémon to warm up to you takes a lot of effort, and  persian will claw at you the moment  persian gets annoyed."
psyduck,"water duck pokémon psyduck is constantly beset by headaches. if the pokémon lets  psyducks strange power erupt, apparently the pain subsides for a while."
golduck,"water duck pokémon golduck lives in gently flowing rivers.  golduck paddles through the water w golduckh  golducks long limbs, putting  golducks graceful swimming skills on display."
mankey,fighting pig monkey pokémon an agile pokémon that lives in trees.  mankey angers easily and will not hes mankeyate to attack anything.
